#Cat,Flag,Age,Srvc,Nch,Grade,Step,Hrweek,Cost,Div,Nation,ChildrenAges
202,15,58,28,0,10,13,40,11975,PS,DE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
530,15,63,33,0,9,13,40,10228,EP,CH,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
316,15,56,31,2,9,13,40,10730,PS,FR,32.07,7.35,nan,nan,nan,nan,nan,nan,nan,nan
361,15,61,35,0,9,7,40,9311,PS,FR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
302,15,52,24,2,9,8,40,9966,PS,DE,30.04,23.70,nan,nan,nan,nan,nan,nan,nan,nan
303,15,60,33,0,7,13,40,7599,PS,IT,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
302,15,53,25,1,9,9,40,9868,ST,CH,26.62,nan,nan,nan,nan,nan,nan,nan,nan,nan
361,15,60,32,1,8,5,40,8012,PS,IT,36.68,nan,nan,nan,nan,nan,nan,nan,nan,nan
340,15,51,28,0,8,13,40,8813,PS,DE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
361,15,56,32,1,7,13,40,7850,PS,FR,28.12,nan,nan,nan,nan,nan,nan,nan,nan,nan
361,15,51,29,0,7,13,40,7599,PS,FR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
303,15,54,31,2,8,13,40,9315,PS,CH,21.30,18.03,nan,nan,nan,nan,nan,nan,nan,nan
302,15,54,29,0,7,13,40,7599,PS,CH,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
300,15,46,25,0,8,6,40,7892,PS,CH,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
361,15,54,26,1,7,13,40,7850,PS,DE,3.03,nan,nan,nan,nan,nan,nan,nan,nan,nan
361,15,57,29,0,7,13,40,7599,PS,FR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
316,11,55,28,0,8,11,40,8137,PS,CH,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
303,15,55,26,1,7,13,40,7850,SPS,FR,25.32,nan,nan,nan,nan,nan,nan,nan,nan,nan
361,15,57,29,1,7,8,40,7294,PS,FR,13.80,nan,nan,nan,nan,nan,nan,nan,nan,nan
361,15,51,28,2,7,13,40,8101,PS,FR,9.72,7.39,nan,nan,nan,nan,nan,nan,nan,nan
